,l2 error,nb components,L1 relative error
RAN-CP,0.8263,4.0000,7.9840
RAN-GG,0.5827,5.0000,5.3622
REN-CL,0.8503,4.0000,6.2939
REN-LV,0.9075,4.0000,5.8185
REN-RT,0.5579,4.0000,3.9405
REN-SL1,0.8118,5.0000,7.4926
REN-SL2,0.7167,5.0000,6.0161
REN-SL3,1.0988,5.0000,8.8308
REN-SL4,0.8454,4.0000,5.8871
REN-SU,0.7892,5.0000,6.6264
RET-BT,0.8217,3.0000,6.3180
RET-LB,0.5966,4.0000,4.8427
RET-LR,0.7366,5.0000,5.8235
RHN-CP,0.9262,5.0000,7.5961
RIM-LA,0.6915,4.0000,5.5470
RIM-LP,1.2018,4.0000,7.7481
ROL-VH,0.6990,6.0000,5.8249
ROM-PP,0.8523,4.0000,5.9083
ROM-PR,1.1903,5.0000,7.7325
ROM-PY,1.7449,3.0000,12.3799
ROM-PY2,0.6882,5.0000,6.4422
ROU-GB,1.2400,3.0000,8.3371
ROU-KM1,1.2320,4.0000,8.5578
ROU-KM2,1.8032,3.0000,15.0820
ROU-LP,0.9861,4.0000,6.0336
RST-KM1,1.4756,2.0000,11.2913
RST-KM2,1.0396,4.0000,7.7790
RST-KM3,0.9714,4.0000,7.9258
RST-KP1,0.9809,3.0000,6.4670
RST-KP2,1.0278,4.0000,7.4733
RST-KP3,0.6792,5.0000,4.9628
RST-KP4,0.9096,5.0000,6.3031
SAA-LF,1.1924,5.0000,9.8214
SAC-BP,1.3410,4.0000,12.6190
SAC-LG,0.6182,4.0000,4.8429
SAE-LB,1.2668,4.0000,8.7496
SAE-LD,0.8804,4.0000,6.3529
SAE-LH,1.3805,4.0000,11.1095
SAE-LH2,1.3520,4.0000,10.1574
SAE-LH3,1.7780,4.0000,12.6269
SAE-LH4,1.2717,4.0000,9.0360
SAE-VV,1.1582,4.0000,8.6355
SAL-LT,1.1641,2.0000,7.4703
SAL-PH,1.2717,4.0000,9.7825
SAP-BG,0.8957,4.0000,6.3836
SAR-LT,0.7110,4.0000,7.1674
SBI-LP,2.4275,4.0000,13.4893
SCD-BG,0.7225,4.0000,5.0863
SCD-KD,0.6625,3.0000,4.9735
SCL-KM,2.0191,5.0000,15.7885
SCO-LP,1.2510,4.0000,10.7696
SCT-LM,2.3550,6.0000,15.5002
SDD-BB,1.6056,3.0000,10.7755
SDN-LB,1.8250,3.0000,14.0080
SDN-LT,0.9364,4.0000,6.2255
SEB-BG,1.1122,4.0000,7.5799
SEC-LC,1.2073,2.0000,6.9034
SEV-CQ,1.5950,4.0000,12.7243
SEV-HN1,1.4793,2.0000,10.3624
SEV-HN2,1.3882,3.0000,9.9337
SEV-LP,2.7312,4.0000,13.6029
SEV-PG,2.2626,3.0000,11.5574
SEV-VB,0.9765,4.0000,9.4544
SEV-VI,0.8433,3.0000,6.3233
SGB-BG,1.1653,3.0000,8.1541
SGB-GC,1.2857,4.0000,8.6670
SGD-LF,1.8236,3.0000,12.2005
SGR-CD,1.0748,5.0000,9.0709
SGR-LB,1.1795,5.0000,10.9049
SGR-LH1,1.0312,4.0000,6.7364
SGR-LH2,0.9467,4.0000,6.4957
SGR-LH3,1.2288,3.0000,8.1732
SGR-LH4,0.8789,4.0000,5.5657
SJC-LT,1.7101,3.0000,11.4949
SJI-KG,1.3113,2.0000,9.3682
SJI-LF,1.5312,3.0000,10.0260
SJV-BG,0.9310,5.0000,8.3792
SJV-BG2,0.7960,3.0000,6.7252
SJV-BN,0.8922,6.0000,7.3937
SJV-LH,0.7950,4.0000,6.7514
SLA-CR,1.9982,3.0000,14.5198
SLG-BG,0.7166,4.0000,7.4046
SLR-BG,1.2504,5.0000,10.8209
SMA-LT,0.6684,4.0000,5.0834
SMB-BG,0.9148,4.0000,7.7324
SMC-LA,1.4712,3.0000,9.9864
SMD-CA,1.2368,4.0000,7.6726
SMD-MT,0.7173,4.0000,4.9394
SMG-LY,1.0541,2.0000,7.0151
SMH-LM,1.0798,3.0000,7.3048
SML-HR,2.0135,3.0000,12.9523
SMM-BG,1.0153,4.0000,7.4324
SMM-CB,1.5485,3.0000,11.3468
SMM-LB,0.9433,4.0000,8.6088
SMM-LF,1.1518,4.0000,8.2019
SMM-LP,0.9691,4.0000,8.2573
SMM-VM,0.9344,4.0000,8.3660
SMN-PC,1.4027,3.0000,9.8649
SMP-LD,1.4196,4.0000,10.5014
SMP-PG,1.0592,3.0000,7.4353
SMR-LB,1.3955,4.0000,11.0512
SMZ-BG,1.2514,4.0000,10.2911
SON-TR,0.7425,4.0000,6.7043
SON-TR2,1.2038,5.0000,9.2298
SON-VJ1,1.6285,3.0000,11.2718
SON-VJ1b,2.0608,3.0000,13.2681
SON-VJ2,1.3622,1.0000,8.7328
SON-VJ3,1.2232,2.0000,8.1972
SON-VJ4,1.7249,2.0000,9.2311
SON-VJ5,2.4915,3.0000,14.4118
SON-VJ6,1.4890,4.0000,9.6139
SOU-LD,0.8419,4.0000,6.0248
SPE-BG,1.4288,2.0000,9.5019
SPG-PJ,1.7456,3.0000,11.6077
SPG-RA,0.7218,5.0000,5.9926
SPG-VL,0.8094,4.0000,5.3800
SPN-BM,1.1933,3.0000,8.1462
SPN-BM1,1.1933,3.0000,8.1462
SPN-BM2,1.5007,2.0000,10.1274
SPN-BM3,1.0983,2.0000,7.1415
SPN-ED,1.1445,5.0000,10.7205
SPN-LP,2.1050,3.0000,16.3059
SPN-VR1,1.0574,5.0000,8.8737
SPN-VR2,1.6436,2.0000,10.0879
SPN-VR3,0.8940,4.0000,9.7382
SPN-VR4,2.0070,5.0000,15.9070
SPN-VR5,0.9420,6.0000,7.7325
SPO-VE,1.2506,4.0000,8.9535
SQP-VR,1.2835,4.0000,11.5516
SRL-PL,1.0069,4.0000,9.5970
SRP-BG,0.9193,4.0000,8.2133
SRV-BC,0.8778,6.0000,7.0975
SSB-LL1,1.7310,4.0000,18.2038
SSB-LL2,1.3549,4.0000,13.7557
SSG-LF,1.0063,3.0000,8.1969
SSN-BH,1.3173,4.0000,9.3157
SSP-LF,0.9350,4.0000,8.6399
SSY-RO,1.4840,3.0000,10.2227
STG-BG,0.8117,4.0000,5.2146
STG-LA,1.3045,5.0000,10.9343
STG-LP1,0.9235,5.0000,7.5647
STG-LP2,1.1746,5.0000,10.2105
STG-MN,1.1722,3.0000,7.1900
STH-CS1,1.2093,5.0000,11.1002
STH-CS2,2.3421,5.0000,14.3195
STJ-TM,1.2829,4.0000,9.3750
STR-BA,1.1212,4.0000,9.7913
STU-VB,1.4542,5.0000,12.1107
SVR-HG,1.1069,4.0000,9.3509
