,l2 error,nb components,L1 relative error
MSB-MO,0.8211,5.0000,5.3723
MTB-BG,0.7457,5.0000,4.5822
MTB-CH,2.0820,2.0000,11.7535
MTB-LL,0.8976,5.0000,5.3972
MTB-LN,0.8272,5.0000,4.9095
MTB-LT,1.6469,5.0000,8.5940
MTB-MD1,1.6130,4.0000,9.2321
MTB-MD2,1.4812,4.0000,9.1458
MTB-MD3,0.9574,5.0000,5.3790
MTB-MD4,2.4656,4.0000,14.2426
MTB-MD5,1.4954,5.0000,8.6393
MTB-VL,2.4596,4.0000,10.8655
MTF-BG,1.1258,5.0000,6.7484
MTF-LB,1.1345,5.0000,7.0201
MTI-CM,3.3110,4.0000,16.5649
MTR-LQ,2.3392,2.0000,13.6317
MUL-CG,1.0846,5.0000,8.2159
MUL-LH,1.4355,6.0000,9.8676
MUL-LP,0.9163,5.0000,6.2330
MUL-PH,0.7789,5.0000,4.9592
MUL-VL,1.0126,5.0000,7.4715
NTY-KM,2.3777,4.0000,10.8087
NTY-KN,3.6329,2.0000,21.1517
NTY-PH,2.2632,3.0000,10.5544
NVT-BG,1.1216,5.0000,5.9467
NYL-LC,1.6605,5.0000,11.1581
NYV-CH,0.6598,5.0000,4.5723
NYV-LB,1.3686,5.0000,10.0254
ORG-AU,1.4830,4.0000,9.7464
ORG-MC,1.6551,6.0000,14.0840
OSS-QV,1.3126,5.0000,8.9103
PAC-BA,1.1839,7.0000,8.9417
PAC-BU,0.9060,5.0000,7.1462
PAC-BV,0.8619,7.0000,6.5862
PAC-LT,2.8214,4.0000,13.0034
PAC-PA,1.1059,5.0000,7.8546
PAN-LP,1.2865,5.0000,8.8714
PAP-BG,1.2056,5.0000,7.5821
PAP-ET,1.8408,7.0000,12.2889
PAP-FP,1.4754,5.0000,9.4350
PAP-PH1,1.4836,7.0000,9.3747
PAP-PH2,1.2465,5.0000,7.3559
PAP-PH3,1.5470,7.0000,10.6303
PAP-RB,1.0742,5.0000,7.0880
PAR-LD,1.7945,5.0000,11.0521
PBY-GV,1.0480,5.0000,5.6137
PCH-LJ,1.6799,7.0000,13.5905
PGL-LH,1.2394,7.0000,9.6758
PGN-LC,1.0061,5.0000,6.2464
PGN-PI,1.1750,6.0000,7.1354
PGR-CC,1.0954,5.0000,5.4838
PGR-LR,0.9760,5.0000,5.3604
PGU-BG,1.1777,6.0000,6.3214
PGU-KG,1.4521,5.0000,9.0671
PGU-KV,1.2384,6.0000,6.5958
PGV-KG2a,1.0255,5.0000,6.2866
PGV-KG2b,1.1569,7.0000,5.9898
PGV-KG3a,0.7098,5.0000,4.0700
PGV-KG3b,1.3703,4.0000,8.2517
PGV-KG3c,1.3690,4.0000,8.3355
PGV-KG3d,1.5188,5.0000,9.3204
PGV-PP1a,0.8403,5.0000,6.3326
PGV-PP1b,0.9817,6.0000,5.8518
PGV-PP1c,1.3286,6.0000,7.5634
PIN-TB,1.1104,7.0000,6.7212
PLA-KR,2.2002,4.0000,14.3206
PLB-HP,0.8227,5.0000,5.2458
